PM2.5,ciswur,ctrstp,dgaca,gcrca,ieno,iesdio,pss,psi,gpc,pd
6.892231675,5.143120145,5.765051945,4.90892422,4.094249767,0.071796518,0.188613953,4.905770819,4.305242602,0.743061141,4.132483914
8.330758091,4.825994436,5.861498447,6.422698861,4.970973599,0.416225231,0.847945875,4.80641751,4.451758789,1.271754248,1.037589577
7.594037018,4.279603053,5.516901143,6.753187204,4.853917299,0.289130359,0.412018358,4.258179703,5.077848551,0.949232896,0.778829648
8.440047918,4.028713458,7.499361273,6.65464,4.570118931,0.60549088,1.166296506,4.647730229,5.058182536,0.860055585,1.65529781
7.439421086,2.675460936,6.894731113,6.927814484,4.528069507,1.04098161,2.099787088,6.859987485,4.703844405,2.10211325,1.559453568
6.1528137,3.418999773,7.144579457,4.904262373,4.138317725,1.016326914,1.234885647,4.337379172,4.623380598,1.568859245,0.163231979
8.450434872,5.023511789,6.917344497,6.358224268,4.496788698,0.133004576,0.115778892,4.277459908,4.681541005,0.949678838,0.83040084
7.166505078,5.304819634,5.638361958,4.665398245,2.446339109,0.06463557,0.088326594,3.839935884,5.691227394,0.731126838,0.298309521
7.526124891,3.931449232,5.738817369,5.042512017,3.713282362,1.752339019,0.119154413,3.885533785,5.304549332,0.910010907,0.315788132
8.019499336,5.180348393,7.609930283,7.578899602,4.960479343,0.523919283,1.513858073,6.003924844,4.975145259,3.083718378,2.119698209
4.544719703,4.8953236,6.131020885,6.462590471,2.989696933,0.158243848,0.278713,5.353080193,1.816354644,0.728035981,0.076441103
5.782344669,1.184137093,7.087333014,6.194816841,4.572969223,0.781595985,1.260325181,4.43717145,5.075396186,1.122819016,0.290742503
6.833876595,4.185298347,5.595328278,6.663186718,5.112063041,0.688836741,0.923911401,4.476239687,4.750853111,1.843902019,0.449813878
7.294058177,4.111534311,6.523529697,3.851915305,3.431492155,0.52253755,1.233559921,4.271826473,3.681033322,1.036295319,0.734339879
8.481479052,4.906066021,7.602216572,7.284329185,4.538377046,0.251393965,1.559713585,2.8862941,7.60334369,5.216708303,0.815667887
7.605655973,4.620337994,7.737075834,7.694915327,4.5270559,0.229651426,0.466221148,5.104257952,5.926642648,3.312644755,2.528501529
7.498019514,4.300753908,6.587200861,6.639840351,3.8204922,0.691225077,0.709221476,4.69674843,3.973951319,0.669332895,1.555166056
8.957802272,5.033012289,7.183856876,6.765067485,4.663919442,0.726325179,1.92746865,4.485823843,5.307008425,1.419286126,1.664808043
4.832774413,3.896419485,6.389052489,5.441203478,2.95421224,0.506970207,0.204389448,4.521746137,3.710999943,0.709699603,0.121344785
6.27130697,2.224130706,6.883996403,6.71502405,3.964950168,0.812404447,1.656380861,7.486176712,3.765557492,2.936012531,0.403853938
6.966372563,4.710675996,7.950499875,7.556513027,4.890906312,0.100439828,0.605316765,6.300375217,5.196234868,3.355707989,3.291348676
7.767323113,3.36946495,6.592963571,5.883707153,4.882225878,2.455606495,1.961966746,4.437025127,6.113876838,1.200667438,0.732959519
7.888510988,5.009187582,6.145994354,6.838105935,4.336718904,0.527481634,0.601384567,4.772104769,4.633903228,1.515079494,1.579184713
6.002844755,5.216548236,8.062339954,7.381988011,5.027198271,0.010285436,0.013523373,9.037127223,2.620420835,1.61271404,3.239867295
7.269591487,3.931120143,8.223395534,7.843282279,5.681927053,3.473989336,1.437086317,6.523664097,3.898691638,1.475202801,1.152364473
6.804826059,4.161027998,5.421106062,3.710921113,2.48033684,1.630769343,1.253262517,5.541690524,4.695838056,0.648273896,0.374643799
7.64447802,4.831895519,7.618549339,7.375772215,4.497501271,0.238230728,0.417816981,3.109449567,6.746492784,2.817263895,0.977742082
7.575095568,3.200708646,7.178660859,6.180831302,3.43803487,0.77820762,1.603595851,4.268461044,6.807798542,3.004263639,0.845873759
7.578082152,4.286683047,6.445334796,5.45860372,4.289948208,0.544499683,0.348966604,4.100848062,4.722144632,0.752084356,0.728621244
8.556306458,4.686746163,6.694425583,5.820677772,4.425272286,0.677175965,1.700338421,4.587810966,5.645219481,1.015575559,2.939891803
7.019040785,2.835825784,6.076248532,5.904487409,4.745343284,0.856717074,1.097868161,4.753375427,5.85132578,1.71845556,0.616532877
8.264355945,4.847350972,7.193450751,6.797263362,4.53688712,0.601513864,0.982172478,5.361859572,3.708026156,0.829950174,1.197412633
6.590992806,1.822401575,7.764515285,4.632369896,4.031126331,0.530499217,1.058981341,3.776713379,4.978668053,1.557609415,0.08727853
7.181208556,2.048508904,5.818589402,5.751009068,4.158175562,0.222367818,1.480717187,5.020213686,3.809377956,0.535994024,0.375518204
7.058909378,3.736737955,5.441594812,5.348081247,3.930353942,2.035372254,1.491422392,3.813586772,6.680245965,0.964412309,0.55377808
9.034752061,4.816517116,7.289956194,7.32992787,4.912477838,0.445701062,1.095384853,3.964182391,5.44814892,1.284865744,2.065952023
8.27931342,5.284482361,6.452615237,7.603568539,4.734788059,0.363006002,0.663791487,5.005563096,5.424015497,2.09482973,2.580453442
8.992041435,4.888452877,7.887693716,6.479707452,4.789526617,0.346477391,0.597763841,3.354235015,6.33485207,1.42387022,2.958810742
6.844613275,3.773559411,6.345361248,6.126235901,3.243830165,0.182807892,0.306224573,4.922597962,3.452759445,0.850742421,0.096096941
8.35285493,4.18448248,6.872762809,6.493175008,4.025713206,0.267244862,0.207408368,4.665947441,4.047095036,0.559059471,1.231257814
7.638838939,3.926951676,6.353714702,6.384787081,3.842364759,0.179776196,0.281523801,4.180438622,4.372131359,0.697156407,0.587910138
7.593216116,4.992870228,5.772663315,6.578505079,4.928737457,0.708340889,0.766151205,6.773437437,3.539378134,1.280577397,0.96448711
8.142770238,3.009454767,7.342251593,6.415011384,4.61863867,1.692624046,3.473245333,4.704357226,5.756850861,1.595870899,1.385079134
8.819840268,5.306736686,8.074696611,6.621853922,4.071701567,0.110318332,0.191947944,5.08260215,3.731358945,0.622315723,2.235747644
8.3361673,5.073805673,5.897423597,6.681294221,4.838435032,0.389182103,0.34113759,4.493944769,4.562646722,1.073768335,1.896989694
7.462469333,3.892751509,6.235220584,6.770554867,5.589875586,0.241445315,0.377097469,4.971250356,5.165982306,1.039171613,0.45582928
7.02301378,1.385261045,4.604676878,4.358271367,0.67202106,0.078709441,0.097939509,5.999169346,2.901182252,0.342971624,0.312793122
6.884660575,4.226708774,7.110452658,6.776097284,3.51972164,0.178416211,0.228962557,2.892220181,6.928808788,1.730726204,0.185220121
7.82029226,3.071193325,5.821256318,4.900474623,4.138494068,0.381180226,0.730693954,5.902961982,3.701792642,0.713115203,0.570008688
7.972266803,4.256553077,6.716356873,6.277370371,4.264360361,3.079764557,10.0569269,5.616143104,4.761089801,1.350533406,1.226472436
7.719557103,3.346154445,7.657532505,5.603813554,4.444317418,1.304687388,1.473373411,4.623147967,6.173867267,1.40474808,0.714802023
7.029218048,4.48967184,5.472858712,4.672769708,4.820232033,0.23091804,0.417279655,4.896625632,4.021360342,1.347802086,0.481927263
5.876286525,2.987892549,7.331859559,7.389940572,4.80235293,1.647969248,3.483065146,5.630362255,5.487894724,3.928322578,0.244614655
7.315892909,3.992781,4.079194724,4.719880373,5.083453428,0.290071523,0.199793225,4.587033625,3.657607603,0.901237049,0.430230559
6.255938679,5.422553682,6.720733912,4.912587099,3.944449407,0.120303546,0.1530582,5.222267442,2.613615438,0.645707847,0.503124675
5.010506824,1.66601551,6.53664545,5.71469237,4.017162331,5.410385752,2.914232254,4.702674511,4.490703958,1.103473615,0.157374723
8.100411881,3.639886397,8.109530126,7.185642011,5.097358126,6.423424343,4.789004726,4.254340876,5.796882606,2.530878314,1.679259847
7.426528909,2.98583574,7.221470134,6.449146459,4.718463661,0.767181296,1.043947458,4.377032702,4.348076569,0.915731602,0.727652844
4.927946553,4.408310341,4.784708968,3.035768452,4.529696612,0.472887631,0.342700874,4.190105084,4.156381699,0.908282811,0.233034859
